evaluate_agent (LunarLanderContinuous-v2)
eval_episode=0, episodic_return=[-218.20499], episodic_length=[157]
eval_episode=1, episodic_return=[-210.98898], episodic_length=[164]
eval_episode=2, episodic_return=[-478.5242], episodic_length=[690]
eval_episode=3, episodic_return=[-471.4399], episodic_length=[649]
eval_episode=4, episodic_return=[-424.35297], episodic_length=[549]
eval_episode=5, episodic_return=[-313.01562], episodic_length=[252]
eval_episode=6, episodic_return=[-214.75504], episodic_length=[130]
eval_episode=7, episodic_return=[-328.93268], episodic_length=[408]
eval_episode=8, episodic_return=[-349.14], episodic_length=[319]
eval_episode=9, episodic_return=[-213.7258], episodic_length=[133]
global_step=165592, episodic_return=[14.893727]
global_step=165968, episodic_return=[29.454538]
global_step=166020, episodic_return=[113.69953]
global_step=167048, episodic_return=[34.986378]
global_step=168448, episodic_return=[-60.395626]
global_step=169592, episodic_return=[89.74419]
global_step=170020, episodic_return=[-87.34145]
global_step=171048, episodic_return=[12.582839]
SPS: 1254
global_step=172448, episodic_return=[60.17537]
global_step=173592, episodic_return=[36.04623]
global_step=174020, episodic_return=[43.070656]
global_step=175048, episodic_return=[-32.988495]
global_step=176448, episodic_return=[-31.467064]
global_step=177592, episodic_return=[36.547916]
global_step=178020, episodic_return=[136.29466]
global_step=179048, episodic_return=[-1.9693267]
SPS: 1266
global_step=180448, episodic_return=[47.84344]
global_step=181592, episodic_return=[65.81912]
global_step=182020, episodic_return=[11.570053]
global_step=183048, episodic_return=[10.2376585]
global_step=184448, episodic_return=[-51.561234]
global_step=185592, episodic_return=[39.17568]
global_step=186020, episodic_return=[-45.874557]
global_step=187048, episodic_return=[88.11018]
SPS: 1255
global_step=188448, episodic_return=[23.22558]
global_step=189592, episodic_return=[80.8367]
global_step=190020, episodic_return=[92.68025]
global_step=191048, episodic_return=[2.5175643]
global_step=191068, episodic_return=[-110.37921]
global_step=193312, episodic_return=[-56.650517]
global_step=193592, episodic_return=[62.709618]
global_step=194196, episodic_return=[-143.48346]
global_step=195048, episodic_return=[61.95281]
SPS: 1270
global_step=197312, episodic_return=[-52.8844]
global_step=197592, episodic_return=[89.451035]
global_step=198196, episodic_return=[-11.983926]
global_step=199048, episodic_return=[90.14861]
global_step=201312, episodic_return=[-66.72121]
global_step=201592, episodic_return=[22.578407]
global_step=201756, episodic_return=[97.8717]
global_step=203048, episodic_return=[60.724857]
SPS: 1282
global_step=205312, episodic_return=[-38.970146]
global_step=205592, episodic_return=[72.69747]
global_step=205756, episodic_return=[18.51411]
global_step=207048, episodic_return=[48.172985]
global_step=209312, episodic_return=[7.7454567]
global_step=209592, episodic_return=[82.08356]
global_step=209756, episodic_return=[26.72279]
global_step=211048, episodic_return=[-14.492467]
SPS: 1302
global_step=213312, episodic_return=[-29.256794]
global_step=213592, episodic_return=[56.327335]
global_step=213756, episodic_return=[73.72254]
global_step=215048, episodic_return=[87.34025]
global_step=217312, episodic_return=[34.20549]
global_step=217592, episodic_return=[40.766296]
global_step=217756, episodic_return=[-0.31365216]
global_step=219048, episodic_return=[76.56508]
SPS: 1320
global_step=221312, episodic_return=[24.532995]
global_step=221592, episodic_return=[50.82041]
